,t,blocked mean,interleaved mean,early mean,middle mean,late mean,instructed mean,blocked stddev,interleaved stddev,early stddev,middle stddev,late stddev,instructed stddev
51,51,0.9085110260616004,0.6103174603174604,0.9352798364426272,0.7253384912959381,0.5935483870967742,0.609375,0.2826277587284374,0.4922428228259314,0.2486758372524044,0.4506137247739704,0.496753109398661,0.4917473702934019
52,52,0.9386670496983626,0.5997591328783621,0.9591836734693876,0.6186540731995277,0.622874149659864,0.6285714285714286,0.23993246309117824,0.4918712277494962,0.199914947901746,0.4909661664390392,0.4885176476391477,0.4866754586687039
53,53,0.9322033898305084,0.6333819241982508,0.9323260970453258,0.6350267379679144,0.6635802469135803,0.6764705882352942,0.2412776800618604,0.4844347592915523,0.2522545493812108,0.4862686280402298,0.475344103143389,0.4713010404866808
54,54,0.92147214271165,0.7286663953330621,0.9573643410852712,0.6534994992767329,0.6904761904761905,0.6521739130434783,0.2660610550000336,0.4483660655116212,0.19989618478407709,0.4800851253421114,0.4661659706195351,0.47976976575540103
55,55,0.9510357815442562,0.5714285714285714,0.9525179734701456,0.6737838432753687,0.7099453551912568,0.5492957746478874,0.21008449722108488,0.5,0.2144653384782909,0.4603708879751958,0.4593452637828014,0.5011054178903219
56,56,0.9101992268807612,0.6111111111111112,0.9889006342494712,0.643176495635512,0.6393218485097073,0.6290322580645161,0.2880079852523159,0.4904054346099594,0.10529232878566533,0.4833701246286,0.4792782160887919,0.4870072867042281
57,57,0.9256117242969384,0.5502645502645503,0.9280219671286108,0.6585534983704321,0.6711915535444947,0.6417910447761194,0.2632328899637501,0.5023111946311948,0.2610771358641364,0.4771221045450552,0.4746712015007892,0.4830927051164928
58,58,0.8950246036085291,0.6562770562770562,0.949905543612794,0.7297996918335902,0.6748917748917749,0.7432432432432432,0.3090662280133461,0.479746690671108,0.2184422990968692,0.44180769218064464,0.4734647394083082,0.4398259559519689
59,59,0.9202307969707898,0.6206349206349205,0.961792767196324,0.7153805496828752,0.6972746331236898,0.6142857142857143,0.2717190183248104,0.4893398758625465,0.19256687092870828,0.4480407314569556,0.4643999730282005,0.4902781565677319
60,60,0.935198164903785,0.6719137466307278,0.9574578041673539,0.699806576402321,0.6000000000000001,0.7826086956521741,0.2471997440578856,0.4739932733289291,0.2028911908637963,0.4618525563403006,0.4762328318654866,0.4154928051118866
61,61,0.9205547200207288,0.5194805194805194,0.9795736434108526,0.6653532226287644,0.6666666666666666,0.6533333333333333,0.2677276402346141,0.5035533422504771,0.1429224589359303,0.4760945590350821,0.4753168665485096,0.4791132951083173
