,concentration,stickiness,sparsity,pvar,lrate,lratep,decay_rate,skipt1,b_mse1,b_mse2,i_mse1,i_mse2
0,1.2374265995804508,32.33363983777869,0.04659684,0,1,1,1,FALSE,0.012183868820953575,0.008573137,0.014712704616016637,0.030617630428854792
0,1.5204180158960772,10.755195643149738,0.072202002,0,1,1,1,FALSE,0.009756077,0.010515949870292926,0.011585358177790992,0.024404718
0,1.7760606406383743,82.68538947755184,0.021969607,0,1,1,1,FALSE,0.012765947333096068,0.009067063,0.010838429775704865,0.018305618
0,1.981749706605637,57.42269700919768,0.050061597,0,1,1,1,FALSE,0.012013744283595647,0.010037821,0.013731014937525961,0.029209827450771657
0,2.031124928609331,3.194690809503586,0.2099979548048706,0,1,1,1,FALSE,0.011453802,0.010210985432812325,0.010383825537243182,0.013534096877877424
0,2.4685949914555767,70.79863835,0.077456773,0,1,1,1,FALSE,0.015899963336352393,0.006834085,0.018558515243844862,0.034008387
0,2.492076857091274,89.71624201977711,0.030423262,0,1,1,1,FALSE,0.012640241091889144,0.008260026,0.011507468140168977,0.027948082
0,2.6802931814674342,42.58424182387705,0.081349909,0,1,1,1,FALSE,0.011919072099937717,0.012559710007748555,0.015240839139827538,0.030597840824912383
0,2.7335873005184426,89.10698377160519,0.054292989,0,1,1,1,FALSE,0.016712682,0.007230029,0.016165221481458717,0.029016425
0,2.9051722350729143,4.344391686267138,0.3024783387320689,0,1,1,1,FALSE,0.010757916145381312,0.007949125,0.014300575,0.020612923
0,3.071629523116787,92.24082094762926,0.054021798,0,1,1,1,FALSE,0.016149542,0.006989919,0.013536146,0.029281918696869837
0,3.2128345339091338,75.10517241564207,0.085873236,0,1,1,1,FALSE,0.016668333943423583,0.007265295,0.018094536,0.034311698
0,3.392580832062482,36.51028854,0.1389972328192744,0,1,1,1,FALSE,0.014836078,0.00632506,0.019166090055508893,0.034248971
0,3.439974874784577,79.50362665,0.081989738,0,1,1,1,FALSE,0.016083579520601805,0.007115947,0.017563633075434314,0.032178755
0,3.442665770879292,10.381440504869262,0.1711083749849748,0,1,1,1,FALSE,0.009711343,0.011720865410837642,0.010892979082719897,0.018441657569000746
0,3.9016778074192464,38.05333020755949,0.1183721338086002,0,1,1,1,FALSE,0.011814058,0.013871683903748292,0.0130287,0.028886168628255878
0,3.970510972843059,69.49285887342909,0.1195767617177192,0,1,1,1,FALSE,0.015973235426015576,0.006971317,0.018322985516436522,0.034582019
0,3.9813528345715534,32.847456808774695,0.1533244031661886,0,1,1,1,FALSE,0.011631370073545613,0.010588527154501577,0.017364699,0.031967374
0,4.126456683043558,4.801125233313174,0.1297687388303656,0,1,1,1,FALSE,0.011070889525232133,0.031059696165825185,0.039533357,0.012200695279430289
0,4.216338749556617,6.099082306166369,0.2822697811546838,0,1,1,1,FALSE,0.010399764109684661,0.021957055,0.029026566,0.025793004189717368
0,0.3693898510148474,61.29641174876944,0.01060119,0,1,1,1,FALSE,0.012496223,0.015593643306751162,0.014980795018468909,0.028004169364132973
0,1.0381613055750345,60.93840585,0.026519069,0,1,1,1,FALSE,0.013192479838637673,0.007281647,0.01659896,0.033508206
0,1.922271685246233,4.188348022592802,0.177134963,0,1,1,1,FALSE,0.013077889003245904,0.005742488,0.012049177,0.017310242332139326
0,2.0988074606755918,95.76309907062118,0.03132781,0,1,1,1,FALSE,0.017259167,0.007714673,0.014151410469910664,0.031077481
0,2.1378351633082926,84.35851017777006,0.048588466,0,1,1,1,FALSE,0.016289598,0.007009,0.016042684,0.031757186
0,2.308897522119641,2.0764326041830072,0.075763216,0,1,1,1,FALSE,0.015898265,0.007419684,0.048549395,0.043332683
0,3.649254200887993,76.33252544041105,0.055407358,0,1,1,1,FALSE,0.012191485213185624,0.013565930906143801,0.011317164250960299,0.029732506
0,3.738926697948024,3.8188126756027194,0.061612232,0,1,1,1,FALSE,0.017472864,0.008017601,0.016104106,0.036473883
0,4.106075339210214,41.16549561799462,0.096338482,0,1,1,1,FALSE,0.012874897778634068,0.020297587737517667,0.010644057284409234,0.021843112146691004
0,4.223874608925678,35.33644019333352,0.1439166413613627,0,1,1,1,FALSE,0.011914153204771898,0.015156203,0.016394532,0.029120207367245035
0,4.228842294698946,45.012157511031646,0.095414033,0,1,1,1,FALSE,0.011694260802150538,0.012609848509087165,0.010506329005020083,0.017931657660448533
0,4.458948232400637,65.98349320478879,0.1076430287825496,0,1,1,1,FALSE,0.012242011979875447,0.007122477,0.016630528539053314,0.03249011
0,4.790415676151553,72.58517843861497,0.069149276,0,1,1,1,FALSE,0.012659306318161933,0.019424794277830455,0.011613667690034211,0.021655103496431374
0,0.8624919810800019,87.38037080528767,0.002625419,0,1,1,1,FALSE,0.011494984147404859,0.014225336106934714,0.048063492142228624,0.011405986631956487
